id,work_package_id,shop_code,status,created_at
1,1,STRUCT,ACTIVE,2026-02-16T09:27:53+00:00
2,1,AVN,ACTIVE,2026-02-16T09:27:53+00:00
3,1,CAB,ACTIVE,2026-02-16T09:27:53+00:00
4,1,QA,ACTIVE,2026-02-16T09:27:53+00:00
5,2,CAB,ACTIVE,2026-02-16T09:27:53+00:00
6,2,AVN,ACTIVE,2026-02-16T09:27:53+00:00
7,2,QA,ACTIVE,2026-02-16T09:27:53+00:00
8,3,AVN,ACTIVE,2026-02-16T09:27:53+00:00
9,3,QA,ACTIVE,2026-02-16T09:27:53+00:00
10,4,STRUCT,ACTIVE,2026-02-16T09:27:53+00:00
11,4,ENG,ACTIVE,2026-02-16T09:27:53+00:00
12,4,QA,ACTIVE,2026-02-16T09:27:53+00:00
13,5,CAB,ACTIVE,2026-02-16T09:27:53+00:00
14,5,QA,ACTIVE,2026-02-16T09:27:53+00:00
15,6,ENG,ON_HOLD,2026-02-16T09:27:53+00:00
16,6,QA,ON_HOLD,2026-02-16T09:27:53+00:00
17,7,STRUCT,COMPLETED,2026-02-16T09:27:53+00:00
18,7,QA,COMPLETED,2026-02-16T09:27:53+00:00
19,8,CAB,CANCELLED,2026-02-16T09:27:53+00:00
20,8,QA,CANCELLED,2026-02-16T09:27:53+00:00
21,9,STRUCT,ACTIVE,2026-02-16T09:27:53+00:00
22,9,CAB,ACTIVE,2026-02-16T09:27:53+00:00
